experiment_id,scenario,strategy,robot_count,target_count,seed,timestamp_s,alloc_num,queued_tasks,footprint_bytes
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,70.0,7,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,75.0,8,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,80.0,9,19,156
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,85.0,10,18,152
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,90.0,11,16,144
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,95.0,12,15,140
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,100.0,13,11,124
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,105.0,14,11,124
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,110.0,15,9,116
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,115.0,16,9,116
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,120.0,17,11,124
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,125.0,18,12,128
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,130.0,19,12,128
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,175.0,20,5,100
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,240.0,21,2,88
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,305.0,22,2,88
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,370.0,23,1,84
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,30.0,1,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,35.0,2,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,40.0,3,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,45.0,4,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,50.0,5,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,55.0,6,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,60.0,7,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,65.0,8,6,48
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,70.0,9,5,44
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,75.0,10,5,44
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,80.0,11,4,40
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,85.0,12,4,40
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,90.0,13,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,95.0,14,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,100.0,15,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,105.0,16,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,110.0,17,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,115.0,18,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,120.0,19,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,125.0,20,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,130.0,21,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,135.0,22,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,140.0,23,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,145.0,24,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,150.0,25,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,155.0,26,3,36
exp_deadline_pressure_ahe_mrta_v3_r3t15_seed01,deadline_pressure,ahe_mrta_v3,3,15,1,160.0,27,3,36
